model,auprc,auroc,f1,config,scaler,pca_components,time_seconds
LOF(k=50),0.19548322991241993,0.5648045534991775,0.23664638265570967,robust_pcaNone,robust,,5.130444049835205
RandomProjection_LOF(B=20),0.193858503659519,0.5629513266718307,0.239948119291285,robust_pcaNone,robust,,12.699405193328857
KNN_Distance(k=5),0.18823746576805186,0.5540018274176223,0.23569637562924434,robust_pcaNone,robust,,0.8940954208374023
"OneClassSVM(kernel=rbf, nu=0.1)",0.18475276702796695,0.5556029423752841,0.2360041623066966,robust_pcaNone,robust,,13.806167840957642
"OneClassSVM(kernel=rbf, nu=0.1)",0.18405009737748268,0.537534925047865,0.2311677959112928,standard_pca80,standard,80.0,3.976292133331299
LOF(k=5),0.18139150057728798,0.5394607009213571,0.2278795404821667,standard_pca80,standard,80.0,3.757392644882202
RandomProjection_LOF(B=20),0.181260125720263,0.5380330112323549,0.22868301147417844,standard_pca80,standard,80.0,11.66011381149292
KNN_Distance(k=5),0.18090543294181335,0.5272977982544794,0.22811301009427734,standard_pca80,standard,80.0,0.6225204467773438
PCA_Reconstruction(n=80),0.18088227390977485,0.5382689136622286,0.2264957264745232,robust_pcaNone,robust,,0.10384654998779297
"DBSCAN(eps=1.0, min_samples=5)",0.18071990015525238,0.5521608757000354,0.23365975857104893,robust_pcaNone,robust,,0.5081284046173096
PCA_Reconstruction(n=20),0.1796974165238167,0.5381480510430537,0.230022075029765,standard_pca80,standard,80.0,0.0583951473236084
"DBSCAN(eps=2.0, min_samples=5)",0.17533064911784946,0.5252261374226865,0.22815705692975108,standard_pca80,standard,80.0,0.31181812286376953
PCA_Reconstruction(n=50),0.17432789655164455,0.5222347875981104,0.2258823529196726,robust_pca80,robust,80.0,0.03920936584472656
Mahalanobis_Distance,0.17376956546903705,0.5170556355186281,0.22910945466508056,standard_pca80,standard,80.0,0.035338640213012695
Mahalanobis_Distance,0.17376562550411995,0.5170531175473954,0.22910945466508056,robust_pcaNone,robust,,0.10846138000488281
LOF(k=50),0.15496162032683847,0.5509890748375672,0.23154848043158646,robust_pca80,robust,80.0,5.171445608139038
"IsolationForest(n=500, samp=512)",0.15477479977173017,0.5272795429630415,0.23040526638211425,robust_pca80,robust,80.0,4.729166746139526
RandomProjection_LOF(B=20),0.1536763323846818,0.5498707808637964,0.23181667216706864,robust_pca80,robust,80.0,11.393616676330566
EllipticEnvelope(support=0.8),0.15343033395214792,0.6205927241332749,0.28399581587044226,robust_pca80,robust,80.0,22.273982286453247
EllipticEnvelope(support=0.8),0.1525415182507083,0.6191086948379386,0.28364222398313765,standard_pca80,standard,80.0,21.104116678237915
EllipticEnvelope(support=0.8),0.14917632648589302,0.6083062835027877,0.27593415204822375,robust_pcaNone,robust,,78.1153495311737
Mahalanobis_Distance,0.14739249277570873,0.51631975842584,0.22910945466508056,robust_pca80,robust,80.0,0.03616952896118164
KNN_Distance(k=5),0.14729667195796764,0.5385575361147892,0.23397947545849587,robust_pca80,robust,80.0,0.6229660511016846
"IsolationForest(n=300, samp=512)",0.14629057146238855,0.5165026260866226,0.22563670803702252,standard_pca80,standard,80.0,4.651522874832153
"OneClassSVM(kernel=rbf, nu=0.1)",0.14511318972825699,0.5394090825110847,0.23205378440348728,robust_pca80,robust,80.0,183.0420105457306
"DBSCAN(eps=2.0, min_samples=5)",0.13984432512428374,0.5331344555721287,0.23089506891470488,robust_pca80,robust,80.0,0.45504069328308105
"IsolationForest(n=100, samp=512)",0.1322410803726876,0.5297317321973926,0.23068432668901084,robust_pcaNone,robust,,4.9019317626953125
